player_id,recent_team,season,week,passing_epa,season_type,completions,interceptions,passing_tds,attempts,sacks,passing_yards
00-0034796,BAL,2023,16,4.920349201298974,REG,23,0,2,35,2,252
00-0034796,BAL,2023,17,28.995928248681594,REG,18,0,5,21,1,321
00-0034855,TB,2023,1,0.9109713025364148,REG,21,0,2,34,1,173
00-0034855,TB,2023,2,13.25848529643427,REG,26,0,1,34,0,317
00-0034855,TB,2023,3,0.5610822458160358,REG,15,1,1,25,2,146
00-0034855,TB,2023,4,8.84839650185313,REG,25,1,3,32,1,246
00-0034855,TB,2023,6,-8.300111832407799,REG,19,1,0,37,1,206
00-0034855,TB,2023,7,0.5751858274117692,REG,27,1,1,42,3,275
00-0034855,TB,2023,8,-1.0801537833780106,REG,25,0,2,42,3,237
00-0034855,TB,2023,9,10.579215147870128,REG,21,0,2,30,2,265
00-0034855,TB,2023,10,7.865437767983115,REG,18,1,2,29,3,278
00-0034855,TB,2023,11,-9.188732027629158,REG,29,1,1,45,4,246
00-0034855,TB,2023,12,-7.509872112456654,REG,20,1,2,30,6,199
00-0034855,TB,2023,13,-3.701134300499689,REG,14,1,1,29,1,202
00-0034855,TB,2023,14,2.4492407522937616,REG,14,0,2,29,1,144
00-0034855,TB,2023,15,23.46660046726831,REG,22,0,4,28,5,381
00-0034855,TB,2023,16,12.943090209003836,REG,26,0,2,35,2,283
00-0034855,TB,2023,17,6.979737302695867,REG,22,2,2,33,2,309
00-0034855,TB,2023,18,-7.991260263885486,REG,20,0,0,32,3,137
00-0034857,BUF,2023,1,-1.4093970255351735,REG,29,3,1,41,5,236
00-0034857,BUF,2023,2,13.21760739837191,REG,31,0,3,37,2,274
00-0034857,BUF,2023,3,5.211040452186173,REG,20,1,1,32,0,218
00-0034857,BUF,2023,4,22.19731426213972,REG,21,0,4,25,2,320
00-0034857,BUF,2023,5,14.9453127423767,REG,27,1,2,40,0,359
00-0034857,BUF,2023,6,1.2013992320389688,REG,19,1,2,30,0,169
00-0034857,BUF,2023,7,8.579465328659799,REG,27,1,2,41,1,265
00-0034857,BUF,2023,8,1.8202115608550784,REG,31,1,2,40,2,324
00-0034857,BUF,2023,9,3.596652031051859,REG,26,1,1,38,1,258
00-0034857,BUF,2023,10,-5.041388048557565,REG,15,2,1,26,0,177
00-0034857,BUF,2023,11,12.000879541489958,REG,20,1,3,32,1,275
00-0034857,BUF,2023,12,7.660534720481227,REG,29,1,2,51,1,339
00-0034857,BUF,2023,14,-2.0088587999831455,REG,23,1,1,42,3,233
00-0034857,BUF,2023,15,-0.4609956982137855,REG,7,0,1,15,1,94
00-0034857,BUF,2023,16,10.033300907642115,REG,15,1,1,21,1,237
00-0034857,BUF,2023,17,-4.945098244781253,REG,15,1,0,30,1,169
00-0034857,BUF,2023,18,3.935817859484814,REG,30,2,2,38,3,359
00-0034869,SF,2023,1,NA,REG,0,0,0,0,0,0
00-0034869,SF,2023,3,NA,REG,0,0,0,0,0,0
00-0034869,SF,2023,4,NA,REG,0,0,0,0,0,0
00-0034869,SF,2023,5,-1.0555692620109767,REG,1,0,0,1,0,1
00-0034869,SF,2023,10,-2.4168919341173023,REG,1,0,0,2,0,6
00-0034869,SF,2023,13,NA,REG,0,0,0,0,0,0
00-0034869,SF,2023,15,0.04260692391489673,REG,2,0,0,3,0,20
00-0034869,SF,2023,16,-0.6477612565504387,REG,8,1,1,14,2,81
00-0034869,SF,2023,17,-1.7085371020948514,REG,0,0,0,0,1,0
00-0034869,SF,2023,18,5.523995909395049,REG,16,0,1,26,3,189
00-0034955,LA,2023,8,-5.129441424680408,REG,5,0,0,10,1,42
00-0034955,LA,2023,9,-14.595850082733032,REG,13,1,0,28,1,130
00-0035100,CIN,2023,1,-1.24702901893761,REG,0,0,0,1,0,0
00-0035100,CIN,2023,11,-5.374978195216586,REG,8,0,1,14,3,68
